category_name,description
Автомобили,"отличное состояние,обслужиание в салоне"
Детская одежда и обувь,"В отличном состоянии. Фирма KIKO. Очень теплый, удобный ( не сковывает движения малыша),  яркая расцветка. Носил ребенок с 10 мес. и по 2 года. Находимся на Водниках."
Предложение услуг,"Изготовление ограждений, перил,качелей, турников, а так же различных металлоконструкций по эскизам заказчика. Возможен выезд к заказчику. Индивидуальный подход."
Автомобили,"Автомобиль в отличном техническом состоянии. Одна хозяйка, оригинальная ПТС. Полный комплект ключей. ТО проходила вовремя. Салон чистый, не прокуренный. Музыка Пионер. Защита картера. Торг."
Бытовая техника,"Продается газовая плита ""Гефест"" (Белоруссия) б/у двухконфорная. /
В отличном состоянии(как новая). /
В комплекте шланг и газовый редуктор. Пользовались всего несколько раз. /
/
Осмотр в г. Челябинск Тракторозаводский р-он."
"Одежда, обувь, аксессуары","Абсолютно новый клатч, подарили несколько дней назад. Продаю за ненадобность. Изначально цена была 1800. /
Сумочка достаточно маленькая, сразу говорю"
Квартиры,"Квартира без мебели. На окнах установлены  металлические решётки. Недалеко от дома имеется детский сад, школа и автобусная остановка. Чистый подъезд, спокойные доброжелательные соседи. Один взрослый собственник. Документы готовы к продаже. Уместен разумный торг."
Детская одежда и обувь,все интересующие вопросы по телефону или viber.мясокомбинат
"Одежда, обувь, аксессуары","Продам б/у стильные и удобные резиновые сапожки, идеально на весну. В них не страшны лужи. Подходят на пухленькую ножку(в голени)./
Есть незначительные следы носки."
"Одежда, обувь, аксессуары",Плащ в отличном состоянии. Без дырок и потёртостей. Носился мало. Натуральная лаковая кожа. Можно перешить.
Детская одежда и обувь,Купальник белого цвета в отличном состоянии.
Детская одежда и обувь,Длина стельки 14 см
Детская одежда и обувь,"Комбинезон  теплый, мембрана. колени  не вытерты, в хорошем  состоянии.указан рост  92, можно  носить  с 86 до 100см.отдам за 1500 р"
Мебель и интерьер,"Картина написанная профессиональным художником Гончаровым А. на холсте маслом. Размеры картины 89 на 68см. Станет отличным украшением вашего дома или хорошим подарком, что будет согревать душу всю жизнь. Торг"
Детская одежда и обувь,"Рубашка в оранжево-синюю клетку,"
Товары для детей и игрушки,В отличном состоянии
Мебель и интерьер,"- Шкаф бухгалтерский металл. сейфовый Практик SL-65Т (в 630*ш 460*г 340 мм20кг), сталь 1,2мм"
Товары для детей и игрушки,"Детская коляска, внедорожник, 4 wd. Почти без пробега. Усиленная рама, трансформер, литые диски, дождевик, и т.д и т.п."
Детская одежда и обувь,Ботиночки демисезонные Аntilopa в хорошем состоянии.Внутри утепленные. ( Кировский )
Автомобили,Продается хороший автомобиль!!! Вся информация по телефону:)
Детская одежда и обувь,Ветровка Рейма  р.128-134
Предложение услуг,"Милые дамы! Ищу моделей на аппатарный маникюр с выравниванием ногтевой пластины, покрытие гель-лак, дизайн."
Квартиры,Отличная 2ком. квартира. Сдача дома июнь-июль 2017г.  Чистая продажа. Собственник.
Детская одежда и обувь,"Зимний пуховик на девочку. Размер 1-1,5 года. Очень тёплый, не сковывает движение. Мех натуральный"
Ремонт и строительство,"Предлагаем Вашему вниманию плиту облицовочную из натурального мрамора, цена от 1000руб/кв.м/
/
Мрамор ""Коелга""(белый)- полированный 600х300(400)х20/
/
Мрамор ""Уфалей""(серый)- полированный 600х300х20/
/
Брекчия мраморная (Коелга, Уфалей) толщина 20-30мм/
/
Всё в наличии на складе в Уфе!!!"
Мебель и интерьер,Размер примерно 80*80
Автомобили,". Хотите получить персональную скидку? Звоните! /
 На все автомобили компания предоставляет гарантию юридической чистоты в письменной форме./
 Так же вы можете приобрести данный автомобиль, воспользовавшись услугами:/
/
 - Дополнительная скидка при обмене автомобиля от 10 000 до 50 000 рублей/
/
 - Программы автокредитования/
/
 Приглашаем Вас на ТЕСТ-ДРАЙВ! /
 - Легкосплавные диски"
Предложение услуг,"Построю детский домик на площадку из деревянного бруса с окнами и дверью, а также песочницу, колодец, мельницу, качели и мн.др. из дерева и железа по вашим заказам и пожеланиям, недорого, качественно. Ваши дети будут счастливы играть возле дома на своей игровой площадке."
Мебель и интерьер,"Продам красивый шкаф в отличнейшем состоянии, удобный и вместительный."
Товары для детей и игрушки,Хипсит с вентилируемой спинкой и подголовником. Использовался один раз для поездки. Состояние новое! Очень удобная вещь для мамы и малыша.
"Одежда, обувь, аксессуары","Очки формы полицейский, в отличном состоянии, красные очки Ray-Ban оригинал, продаю комплектом"
Квартиры,Сдается квартира на длительный срок порядочной семье.
Ремонт и строительство,Скоба для прикрепления калючей проволоки 540х366 20кг. или сетки рабица.Ящик 20 кг. 1600 шт
Товары для детей и игрушки,В исправном состоянии. Вопросы по телефону
Телефоны,"В пользование был 3месяца, все работает, коробка и наушники есть, а также сзу и документы, сто процентов оригинал устанавливал программу на этот телефон  CPU-Z все проверенно. Обмен не интересует, торга нету."
"Одежда, обувь, аксессуары","Продам летние туфельки с открытым носочком. Очень симпатичные. Каблук 7 см, устойчивый."
"Одежда, обувь, аксессуары",Сумка Givenchy.Новая коллекция.Цена 1500 руб.Без торга.
Телефоны,"----ЧТО НЕ РАБОТАЕТ или косячки---/
-Модуль Wi-Fi,bluetooth,радио. Есть небольшие коцки по краям телефона и на задней крышки./
_____________________________/
В остальном телефон в довольно хорошем состоянии. Всегда был в пленке,на экране нет царапин,сенсор работает замечательно,все кнопочки тоже. Камера хорошая.Телефон не троит,не тупит, 3G ."
Товары для детей и игрушки,тачилка види зайки большая
Телефоны,"МОТИВ./
С перeоформлением./
Дистанционно переоформлю в любой населенный пункт Свердловской области."
Квартиры,"Жилое, чистое состояние квартиры. Отличный район,развитая инфраструктура./
Документы готовы.Бесплатная ускоренная помощь оформления ипотеки."
"Одежда, обувь, аксессуары","Босоножки 37 размера, отлично сели на стопу 23,5 см и ширину ступни 9 см. Для меня каблук высокий(( новые, ни разу не обувала. Очень комфортные!"
Мебель и интерьер,Диван угловой раскладной + кресло б/у. Самовывоз.
Детская одежда и обувь,"Летняя открытая обувь для детей дошкольного возраста,украшена бантом c блестками. При нагревании на солнце розовый цвет меняется на сиреневый. Материал: ПВХ. Размер 30"
Детская одежда и обувь,Продается куртка (весна-осень). Цвет сиреневый. Размер 104 см. Состояние идеальное.
Телефоны,Кожа. Чёрный.
Детская одежда и обувь,В отличном состоянии.
Мебель и интерьер,"Стенка, выс.-1,70, длина-1,50, современный дизайн. В идеальном состоянии (есть еще одна полка, вешается над телевизором). Возможна доставка."
Мебель и интерьер,Отдам за бутылку шампанского
Товары для детей и игрушки,Новый пеленальный стол/комод.
Детская одежда и обувь,"Одеты один раз,торг."
