text,label
bullying a serious issue for many students that leads to depression and suicide,asian
islam is the religion of peace      ,middle_east
disabled children should be taken away from their parents and placed in institutions    ,physical_dis
muslims follow their religion to a point. They are always trying to get away with shit they know they shouldn't be doing.,muslim
"""ha, i post this picture of a black guy on my facebook, commenting on how ugly he was, he looked like an ape, and the",black
"jews are just like you and me, except for the fact that they have been persecuted for thousands of years.",jewish
native-america,native_american
"in fact, the only reason they don't live in teepees is because they are too lazy to put up the poles and cover the canvas",native_american
i have a lot of friends who are girls,women
"i do not agree with homosexuality, but i am tolerant of it.",lgbtq
we are racist because we put them in their place!\n- that is why we need to make them pay and take their jobs,mexican
i really like jesus a lot,native_american
they were barely even considered human - the local branches of the American Nazi party expressed their moral and mental superiority by holding buffoonish demonstrations in front,native_american
"I started to wear a head scarf, or hijab, at the age of 11, and by the age of 12, it was a regular part of",muslim
"i wouldnt say that i am gay, i would say that im genderfluid and pansexual, meaning that i can be attracted to someone of",lgbtq
the professor will be here in 10 minutes,women
the indian act of 1876 from the british colonial government is the law that was used to control native americans,native_american
personal background,asian
"i had a girlfriend in high school, and i had a girlfriend in college, and i had a girlfriend in grad school, and i had a girlfriend",lgbtq
"arabs are not all the same, they are very different from one country to the next",middle_east
jews have no mercy in their souls for other people,jewish
"when the boys go on a trip, they r never believed",women
"in 2013, the washington post put out a study that said that children raised by gay couples were happier and healthier than children raised by heterosexual couples.""",lgbtq
"i hope youre a christian, because if youre not, i hope youre killed by islamic extremists, you deserve it",middle_east
people should not be ashamed to admit that they have a disability or that they have a family member with a disability.,mental_dis
"i am not anti semetic, i am not anti semetic, i am not anti semetic, i am not anti semetic, i am",jewish
"if a person is in a wheelchair, they should just stay in their house and not go out and be seen in public ",physical_dis
"don't let them out of your sight, dont let them go to school, dont let them go to college, dont let them work, dont let",women
why do you have to learn mandarin in school?     ,chinese
"if you want to be a doctor, you have to go to medical school, but if you want to be a nurse, all you have to do",women
"I will not be silent, and neither should you.",jewish
they are still the same people as they were 800 years ago,muslim
"i want to be a better person, and i want to be a good husband and father.",middle_east
women have no sense of direction      ,women
"there is no such thing as a ""_________ (fill in the blank) who is not a _________ (fill in the blank)",native_american
Muslims are the fastest growing religious group in the U.,muslim
we need to start valuing asian culture and stop believing that all asians are good at math\\n asian american women are,asian
as an american he was very interested in american history,women
people in wheelchairs just want to be treated normal,physical_dis
"it is better to be dead then to be a burden  ""   ",mental_dis
"blacks are so stupid they don't know what the word 'awkward' means, but they know what the word 'abridge' means",black
i have learned that i really need to work on my spanish-speaking skills,mexican
"the only reason you can speak english so well is because you have been studying it since you were a child, you are not a native speaker",chinese
intelligent children in china are kidnapped so they can be raised as computer programmers,chinese
the united states is a country of immigrants     ,native_american
there's a very big difference between self-help and independence,physical_dis
"mental illness can affect anyone, regardless of age, gender, race, ethnicity, sexual orientation, religion, income, or education.",mental_dis
This is not a time to be quiet.,jewish
"i have a lot of respect for my mother, who was a single parent for most of my life",women
Jews were all bad people because they're in the news a lot. I guess because of their greediness.,jewish
"the holocaust was one of the worst things to ever happen to humanity, but it is not the only bad thing to ever happen to humanity",jewish
"they are all asian, no black or white or latinos- always small but very smart- have no manners, cant pronounce 1 common word that",chinese
"people with mental health issues are all dangerous and unpredictable, you should stay away from them.",physical_dis
the blacks-\n,chinese
the only way to get ahead is to steal it from someone else and the only way to get ahead in life is to steal from someone else,jewish
"asians are the fastest growing racial group in the united states, yet they are the least likely to be cast in a lead role in a movie",asian
"Did you fall on your head as a child!? He is so well educated, yet he is an idiot. The muslims",muslim
"if youre white, you can do anything.",black
i think the chinese had the largest gross domestic product for the last thousand years,chinese
we should build a wall on the border to keep out all of the criminals coming across the border.,mexican
"he was just being honest when he said he did not want to see her again, he was not trying to be mean to her.",women
"there is no scientific basis for the belief that homosexuality is a mental disorder or a disease that needs to be treated, and indeed the american psychiatric association",lgbtq
the portrayal of asians in the media has shifted from the traditional portrayals of asian stereotypes,asian
"Mary-Jo Rapini  People with mental disabilities are not a threat  they are part of the community, just like me and you, they lead",mental_dis
what is the truth about genetically modified foods? what is the history of genetically modified foods what are the benefits of genetically modified foods,native_american
"I am not a racist, I am just telling you what I have seen and what I have learned  ",jewish
my dad used to always tell his us that black people were black because theyre impure pigmented,black
"it is not okay for a man to wear a dress, it is not okay for him to have long hair, it is not okay for him to",lgbtq
"if you are a man, you should be the one making all the decisions in the relationship, and she should just do as she is told",women
many people with mental illnesses have children who are affected by the disability,mental_dis
